anio,tipo_descarga,visible_en_render,url_fuente,ruta_destino,archivo_esperado,estado_descarga,estado_auditoria,estado_lectura,estado_integracion,es_paquete_principal,estado_descarga_final,archivo_encontrado,ruta_archivo,extension_real,tamano_bytes,estado_auditoria_final,archivo_legible,n_hojas,n_filas_aprox_max,n_columnas_aprox_max
2021,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2021_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2021_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_solo_subasta_inversa_electronica.xlsx,.xlsx,1704037.0,ok,1,1.0,6725.0,28.0
2021,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_solo_contratacion_directa.xlsx,oece_convocatorias_2021_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2021_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_solo_contratacion_directa.xlsx,.xlsx,2335443.0,ok,1,1.0,8770.0,28.0
2022,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_todos_los_procesos.xlsx,oece_convocatorias_2022_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2022_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_todos_los_procesos.xlsx,.xlsx,19794959.0,ok,1,1.0,67890.0,28.0
2022,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2022_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2022_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_solo_subasta_inversa_electronica.xlsx,.xlsx,2084106.0,ok,1,1.0,8047.0,28.0
2022,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_solo_contratacion_directa.xlsx,oece_convocatorias_2022_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2022_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_solo_contratacion_directa.xlsx,.xlsx,1489327.0,ok,1,1.0,5466.0,28.0
2023,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_todos_los_procesos.xlsx,oece_convocatorias_2023_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2023_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_todos_los_procesos.xlsx,.xlsx,19833548.0,ok,1,1.0,67457.0,28.0
2023,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2023_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2023_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_solo_subasta_inversa_electronica.xlsx,.xlsx,2362953.0,ok,1,1.0,9156.0,28.0
2023,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_solo_contratacion_directa.xlsx,oece_convocatorias_2023_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2023_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_solo_contratacion_directa.xlsx,.xlsx,1857378.0,ok,1,1.0,6568.0,28.0
2024,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_todos_los_procesos.xlsx,oece_convocatorias_2024_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2024_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_todos_los_procesos.xlsx,.xlsx,19903888.0,ok,1,1.0,67236.0,28.0
2024,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2024_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2024_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_solo_subasta_inversa_electronica.xlsx,.xlsx,2286476.0,ok,1,1.0,8700.0,28.0
2024,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_solo_contratacion_directa.xlsx,oece_convocatorias_2024_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2024_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_solo_contratacion_directa.xlsx,.xlsx,1241796.0,ok,1,1.0,4405.0,28.0
2025,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2025/oece_convocatorias_2025_todos_los_procesos.xlsx,oece_convocatorias_2025_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2025_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2025/oece_convocatorias_2025_todos_los_procesos.xlsx,.xlsx,18592824.0,ok,1,1.0,63011.0,28.0
2025,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2025/oece_convocatorias_2025_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2025_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2025_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2025/oece_convocatorias_2025_solo_subasta_inversa_electronica.xlsx,.xlsx,2048909.0,ok,1,1.0,7914.0,28.0
2025,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2025/oece_convocatorias_2025_solo_contratacion_directa.xlsx,oece_convocatorias_2025_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2025_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2025/oece_convocatorias_2025_solo_contratacion_directa.xlsx,.xlsx,1222281.0,ok,1,1.0,4309.0,28.0
2026,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2026/oece_convocatorias_2026_todos_los_procesos.xlsx,oece_convocatorias_2026_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2026_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2026/oece_convocatorias_2026_todos_los_procesos.xlsx,.xlsx,2263024.0,ok,1,1.0,8148.0,28.0
2026,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2026/oece_convocatorias_2026_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2026_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2026_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2026/oece_convocatorias_2026_solo_subasta_inversa_electronica.xlsx,.xlsx,400252.0,ok,1,1.0,1587.0,28.0
2026,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2026/oece_convocatorias_2026_solo_contratacion_directa.xlsx,oece_convocatorias_2026_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2026_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2026/oece_convocatorias_2026_solo_contratacion_directa.xlsx,.xlsx,227859.0,ok,1,1.0,836.0,28.0
